Date,Open,High,Low,Close
19271230,17.66,17.66,17.66,17.66
19280103,17.76,17.76,17.76,17.76
19280104,17.719999,17.719999,17.719999,17.719999
19280105,17.549999,17.549999,17.549999,17.549999
19280106,17.66,17.66,17.66,17.66
19280109,17.5,17.5,17.5,17.5
19280110,17.370001,17.370001,17.370001,17.370001
19280111,17.35,17.35,17.35,17.35
19280112,17.469999,17.469999,17.469999,17.469999
19280113,17.58,17.58,17.58,17.58
19280116,17.290001,17.290001,17.290001,17.290001
19280117,17.299999,17.299999,17.299999,17.299999
19280118,17.26,17.26,17.26,17.26
19280119,17.379999,17.379999,17.379999,17.379999
19280120,17.48,17.48,17.48,17.48
19280123,17.639999,17.639999,17.639999,17.639999
19280124,17.709999,17.709999,17.709999,17.709999
19280125,17.52,17.52,17.52,17.52
19280126,17.629999,17.629999,17.629999,17.629999
19280127,17.690001,17.690001,17.690001,17.690001
19280130,17.49,17.49,17.49,17.49
19280131,17.57,17.57,17.57,17.57
19280201,17.530001,17.530001,17.530001,17.530001
19280202,17.629999,17.629999,17.629999,17.629999
19280203,17.4,17.4,17.4,17.4
19280206,17.450001,17.450001,17.450001,17.450001
19280207,17.440001,17.440001,17.440001,17.440001
19280208,17.49,17.49,17.49,17.49
19280209,17.549999,17.549999,17.549999,17.549999
19280210,17.540001,17.540001,17.540001,17.540001
19280214,17.440001,17.440001,17.440001,17.440001
19280215,17.4,17.4,17.4,17.4
19280216,17.35,17.35,17.35,17.35
19280217,17.040001,17.040001,17.040001,17.040001
19280220,16.950001,16.950001,16.950001,16.950001
19280221,17.110001,17.110001,17.110001,17.110001
19280223,17.129999,17.129999,17.129999,17.129999
19280224,17.18,17.18,17.18,17.18
19280227,17.110001,17.110001,17.110001,17.110001
19280228,17.16,17.16,17.16,17.16
19280229,17.26,17.26,17.26,17.26
19280301,17.299999,17.299999,17.299999,17.299999
19280302,17.299999,17.299999,17.299999,17.299999
19280305,17.57,17.57,17.57,17.57
19280306,17.67,17.67,17.67,17.67
19280307,17.58,17.58,17.58,17.58
19280308,17.639999,17.639999,17.639999,17.639999
19280309,17.93,17.93,17.93,17.93
19280312,18.0,18.0,18.0,18.0
19280313,17.92,17.92,17.92,17.92
19280314,17.93,17.93,17.93,17.93
19280315,18.07,18.07,18.07,18.07
19280316,18.26,18.26,18.26,18.26
19280319,18.360001,18.360001,18.360001,18.360001
19280320,18.459999,18.459999,18.459999,18.459999
19280321,18.65,18.65,18.65,18.65
19280322,18.6,18.6,18.6,18.6
19280323,18.780001,18.780001,18.780001,18.780001
