"complete","volume","time","b_o","b_h","b_l","b_c","m_o","m_h","m_l","m_c","a_o","a_h","a_l","a_c"
TRUE,8,1631721395,1.26562,1.26574,1.26562,1.26574,1.26572,1.26584,1.26572,1.26584,1.26582,1.26595,1.26582,1.26595
TRUE,7,1631721400,1.26576,1.26583,1.26576,1.26583,1.26587,1.26593,1.26587,1.26592,1.26598,1.26603,1.26598,1.26601
TRUE,5,1631721405,1.26585,1.26585,1.26579,1.26584,1.26595,1.26595,1.2659,1.26594,1.26605,1.26605,1.266,1.26604
TRUE,11,1631721410,1.26581,1.26581,1.26567,1.26576,1.26592,1.26592,1.26578,1.26586,1.26603,1.26603,1.2659,1.26596
TRUE,5,1631721415,1.26578,1.26584,1.26578,1.26579,1.26588,1.26594,1.26588,1.26589,1.26598,1.26604,1.26598,1.26599
TRUE,20,1631721420,1.26577,1.26578,1.26559,1.26562,1.26586,1.26588,1.2657,1.26572,1.26595,1.26599,1.2658,1.26582
TRUE,7,1631721425,1.26563,1.26579,1.26563,1.26579,1.26574,1.26589,1.26574,1.26589,1.26586,1.26599,1.26586,1.26599
TRUE,21,1631721430,1.26574,1.26596,1.26574,1.26574,1.26586,1.26606,1.26585,1.26585,1.26597,1.26617,1.26596,1.26596
TRUE,18,1631721435,1.26571,1.26575,1.26555,1.26555,1.26582,1.26586,1.26566,1.26566,1.26592,1.26597,1.26577,1.26577
TRUE,18,1631721440,1.26553,1.26576,1.26553,1.26574,1.26564,1.26588,1.26564,1.26586,1.26575,1.266,1.26575,1.26597
TRUE,11,1631721445,1.26576,1.26586,1.26576,1.26581,1.26588,1.26596,1.26588,1.26592,1.266,1.26608,1.26599,1.26604
TRUE,20,1631721450,1.26583,1.26591,1.26565,1.26572,1.26595,1.266,1.26577,1.26582,1.26607,1.2661,1.26589,1.26591
TRUE,10,1631721455,1.26574,1.26581,1.26571,1.26581,1.26584,1.26591,1.26582,1.26591,1.26593,1.26601,1.26592,1.26601
TRUE,2,1631721465,1.26582,1.26586,1.26582,1.26586,1.26594,1.26596,1.26594,1.26596,1.26606,1.26607,1.26606,1.26607
TRUE,7,1631721470,1.2659,1.2659,1.26576,1.26579,1.266,1.266,1.26586,1.2659,1.26609,1.26609,1.26596,1.26602
TRUE,3,1631721475,1.26578,1.26579,1.26576,1.26579,1.26588,1.26588,1.26586,1.26588,1.26599,1.26599,1.26596,1.26597
TRUE,4,1631721480,1.2658,1.2659,1.2658,1.2659,1.26591,1.266,1.26591,1.266,1.26602,1.2661,1.26602,1.2661
TRUE,16,1631721485,1.26588,1.26593,1.26582,1.26589,1.26598,1.26602,1.26592,1.26598,1.26608,1.26612,1.26602,1.26608
TRUE,6,1631721490,1.26591,1.266,1.26591,1.26594,1.26601,1.2661,1.26601,1.26604,1.26611,1.26619,1.26611,1.26614
TRUE,9,1631721495,1.26596,1.26607,1.26596,1.26607,1.26606,1.26616,1.26606,1.26616,1.26617,1.26626,1.26617,1.26626
TRUE,13,1631721500,1.26605,1.26616,1.26602,1.26614,1.26614,1.26626,1.26612,1.26624,1.26623,1.26635,1.26622,1.26633
TRUE,13,1631721505,1.26611,1.26611,1.26595,1.26601,1.26622,1.26622,1.26604,1.26611,1.26632,1.26632,1.26613,1.26621
TRUE,7,1631721510,1.26599,1.26605,1.26599,1.26599,1.26609,1.26614,1.26609,1.2661,1.26619,1.26624,1.26619,1.2662
TRUE,7,1631721515,1.26597,1.26607,1.26594,1.26607,1.26606,1.26616,1.26604,1.26616,1.26616,1.26625,1.26613,1.26625
TRUE,2,1631721520,1.26609,1.26609,1.26606,1.26606,1.26618,1.26618,1.26616,1.26616,1.26628,1.26628,1.26626,1.26626
TRUE,3,1631721525,1.26609,1.26615,1.26609,1.26615,1.26618,1.26624,1.26618,1.26624,1.26628,1.26633,1.26628,1.26633
TRUE,10,1631721530,1.26612,1.26616,1.26609,1.26609,1.26621,1.26626,1.26619,1.26619,1.2663,1.26637,1.26629,1.26629
TRUE,17,1631721535,1.26605,1.26608,1.26589,1.26595,1.26615,1.26618,1.26598,1.26604,1.26625,1.26628,1.26608,1.26614
TRUE,4,1631721540,1.26597,1.266,1.26595,1.26595,1.26607,1.2661,1.26605,1.26605,1.26617,1.26619,1.26615,1.26615
