"complete","volume","time","b_o","b_h","b_l","b_c","m_o","m_h","m_l","m_c","a_o","a_h","a_l","a_c"
TRUE,29,1696598605,149.239,149.248,149.239,149.245,149.248,149.256,149.248,149.253,149.256,149.264,149.256,149.261
TRUE,23,1696598610,149.242,149.255,149.24,149.255,149.25,149.263,149.248,149.263,149.258,149.271,149.256,149.271
TRUE,18,1696598615,149.256,149.268,149.249,149.268,149.262,149.276,149.256,149.276,149.269,149.284,149.264,149.284
TRUE,21,1696598620,149.27,149.271,149.264,149.271,149.278,149.278,149.272,149.278,149.285,149.285,149.278,149.284
TRUE,20,1696598625,149.271,149.28,149.268,149.275,149.278,149.286,149.276,149.282,149.285,149.293,149.283,149.288
TRUE,23,1696598630,149.274,149.28,149.265,149.28,149.282,149.287,149.273,149.287,149.289,149.294,149.281,149.294
TRUE,17,1696598635,149.282,149.282,149.278,149.279,149.288,149.288,149.286,149.286,149.295,149.295,149.293,149.294
TRUE,20,1696598640,149.278,149.28,149.269,149.279,149.286,149.288,149.277,149.287,149.294,149.296,149.285,149.295
TRUE,12,1696598645,149.281,149.292,149.281,149.289,149.289,149.298,149.289,149.297,149.297,149.305,149.297,149.305
TRUE,18,1696598650,149.289,149.29,149.276,149.279,149.296,149.298,149.284,149.287,149.304,149.305,149.292,149.295
TRUE,9,1696598655,149.279,149.279,149.26,149.268,149.286,149.286,149.268,149.276,149.293,149.294,149.276,149.284
TRUE,14,1696598660,149.272,149.276,149.26,149.269,149.28,149.284,149.268,149.276,149.287,149.292,149.276,149.283
TRUE,11,1696598665,149.269,149.27,149.266,149.267,149.276,149.278,149.274,149.275,149.284,149.286,149.281,149.283
TRUE,18,1696598670,149.269,149.269,149.255,149.258,149.276,149.278,149.262,149.266,149.284,149.286,149.268,149.273
TRUE,10,1696598675,149.257,149.263,149.256,149.26,149.265,149.27,149.264,149.268,149.273,149.277,149.273,149.276
TRUE,12,1696598680,149.26,149.267,149.253,149.256,149.268,149.274,149.261,149.264,149.275,149.282,149.269,149.272
TRUE,13,1696598685,149.256,149.258,149.248,149.251,149.264,149.266,149.256,149.259,149.273,149.274,149.264,149.267
TRUE,12,1696598690,149.247,149.247,149.236,149.245,149.255,149.255,149.244,149.253,149.263,149.263,149.252,149.261
TRUE,16,1696598695,149.247,149.252,149.241,149.246,149.255,149.26,149.249,149.254,149.263,149.268,149.257,149.262
TRUE,25,1696598700,149.241,149.251,149.24,149.251,149.249,149.258,149.248,149.258,149.257,149.264,149.256,149.264
TRUE,15,1696598705,149.255,149.255,149.246,149.247,149.262,149.262,149.252,149.255,149.269,149.269,149.259,149.263
TRUE,9,1696598710,149.245,149.257,149.245,149.257,149.252,149.265,149.252,149.265,149.259,149.273,149.259,149.273
TRUE,23,1696598715,149.253,149.257,149.248,149.257,149.261,149.264,149.256,149.264,149.269,149.272,149.263,149.272
TRUE,18,1696598720,149.256,149.256,149.246,149.246,149.264,149.264,149.254,149.254,149.272,149.273,149.262,149.262
TRUE,7,1696598725,149.246,149.246,149.245,149.246,149.254,149.254,149.252,149.254,149.261,149.263,149.258,149.263
TRUE,4,1696598730,149.245,149.245,149.236,149.236,149.253,149.253,149.244,149.244,149.261,149.261,149.252,149.252
TRUE,5,1696598735,149.236,149.236,149.236,149.236,149.244,149.244,149.244,149.244,149.251,149.252,149.251,149.251
TRUE,21,1696598740,149.236,149.244,149.236,149.237,149.244,149.251,149.242,149.244,149.252,149.258,149.249,149.252
TRUE,25,1696598745,149.236,149.247,149.236,149.237,149.244,149.254,149.244,149.244,149.252,149.262,149.251,149.251
TRUE,15,1696598750,149.237,149.24,149.236,149.24,149.244,149.248,149.244,149.248,149.252,149.256,149.251,149.256
TRUE,25,1696598755,149.237,149.249,149.231,149.243,149.244,149.256,149.238,149.25,149.251,149.264,149.244,149.257
TRUE,21,1696598760,149.242,149.249,149.237,149.237,149.25,149.256,149.244,149.246,149.258,149.264,149.252,149.254
TRUE,13,1696598765,149.236,149.249,149.236,149.238,149.244,149.257,149.244,149.246,149.252,149.265,149.252,149.253
TRUE,19,1696598770,149.237,149.238,149.234,149.237,149.244,149.246,149.242,149.245,149.251,149.254,149.25,149.253
TRUE,20,1696598775,149.237,149.248,149.235,149.248,149.246,149.256,149.243,149.256,149.254,149.264,149.251,149.264
TRUE,22,1696598780,149.245,149.247,149.24,149.247,149.253,149.256,149.246,149.256,149.261,149.264,149.253,149.264
TRUE,9,1696598785,149.249,149.258,149.247,149.258,149.257,149.266,149.255,149.266,149.265,149.274,149.263,149.274
TRUE,15,1696598790,149.259,149.268,149.254,149.258,149.268,149.276,149.262,149.266,149.276,149.283,149.27,149.274
TRUE,24,1696598795,149.259,149.272,149.259,149.268,149.268,149.279,149.268,149.276,149.276,149.287,149.276,149.285
