"complete","volume","time","b_o","b_h","b_l","b_c","m_o","m_h","m_l","m_c","a_o","a_h","a_l","a_c"
TRUE,30,1696599490,18.36066,18.3671,18.36015,18.3671,18.36293,18.3686,18.36268,18.3686,18.3652,18.37011,18.3652,18.37011
TRUE,41,1696599495,18.3679,18.3725,18.3661,18.36743,18.3694,18.3747,18.3684,18.37045,18.37091,18.3769,18.3707,18.37347
TRUE,37,1696599500,18.36755,18.3683,18.3642,18.3642,18.37051,18.37064,18.36644,18.36644,18.37347,18.37369,18.36863,18.36867
TRUE,29,1696599505,18.364,18.3647,18.36236,18.3642,18.36634,18.36668,18.36535,18.3662,18.36867,18.36867,18.3678,18.36821
TRUE,30,1696599510,18.3641,18.3647,18.3626,18.3631,18.36616,18.36646,18.3649,18.36516,18.36821,18.36821,18.3672,18.36721
TRUE,43,1696599515,18.363,18.3632,18.3611,18.3624,18.3651,18.36512,18.36345,18.3646,18.36721,18.36721,18.3658,18.3668
TRUE,32,1696599520,18.3622,18.3622,18.3573,18.3584,18.36445,18.36445,18.3597,18.3606,18.3667,18.3667,18.3621,18.3628
TRUE,21,1696599525,18.35752,18.3585,18.35667,18.3585,18.36039,18.3607,18.3597,18.36065,18.36326,18.36326,18.362,18.3628
TRUE,20,1696599530,18.3594,18.3598,18.359,18.3592,18.36116,18.36145,18.36074,18.36084,18.36293,18.3631,18.36247,18.36247
TRUE,25,1696599535,18.3572,18.3601,18.3572,18.35736,18.35984,18.36248,18.35984,18.36062,18.36247,18.36486,18.36247,18.36389
TRUE,31,1696599540,18.3574,18.36128,18.3574,18.36091,18.36052,18.36318,18.36052,18.36276,18.36364,18.36518,18.36364,18.36462
TRUE,24,1696599545,18.36029,18.37159,18.36029,18.37159,18.36246,18.37351,18.36246,18.37351,18.36462,18.37543,18.36462,18.37543
TRUE,21,1696599550,18.37159,18.37245,18.36987,18.37021,18.37344,18.37452,18.37256,18.37273,18.3753,18.3766,18.3749,18.37525
TRUE,30,1696599555,18.37047,18.37215,18.37047,18.37199,18.37286,18.37445,18.37286,18.37437,18.37525,18.37675,18.37525,18.37675
TRUE,38,1696599560,18.37261,18.37979,18.37261,18.37676,18.37506,18.38206,18.37506,18.37983,18.3775,18.38434,18.3775,18.3829
