act_symbol,date,when
A,2020-02-18,After market close
A,2020-05-21,After market close
A,2020-08-18,After market close
A,2020-11-23,After market close
A,2021-02-16,After market close
A,2021-05-25,After market close
A,2021-08-17,After market close
A,2021-11-22,After market close
A,2022-02-22,After market close
A,2022-05-24,After market close
A,2022-08-16,After market close
A,2022-11-21,After market close
A,2023-02-28,After market close
A,2023-05-23,After market close
A,2023-08-15,After market close
A,2023-11-20,After market close
A,2024-02-27,After market close
A,2024-05-29,After market close
A,2024-08-21,After market close
A,2024-11-25,After market close
A,2025-02-26,After market close
A,2025-05-28,After market close
A,2025-08-27,After market close
AA,2020-04-22,After market close
AA,2020-07-15,After market close
AA,2020-10-14,After market close
AA,2021-01-20,After market close
AA,2021-04-15,After market close
AA,2021-07-15,After market close
AA,2021-10-14,After market close
AA,2022-01-19,After market close
AA,2022-04-20,After market close
AA,2022-07-20,After market close
AA,2022-10-19,After market close
AA,2023-01-18,After market close
AA,2023-04-19,After market close
AA,2023-07-19,After market close
AA,2023-10-18,After market close
AA,2024-01-17,After market close
AA,2024-04-17,After market close
AA,2024-07-17,After market close
AA,2024-10-16,After market close
AA,2025-01-22,After market close
AA,2025-04-16,After market close
AA,2025-07-16,After market close
AA,2025-10-15,
AACG,2022-11-30,After market close
AACG,2023-03-30,After market close
AACG,2023-05-11,
AACG,2023-08-10,
AACG,2023-11-13,After market close
AACG,2024-03-26,After market close
AACG,2024-05-14,After market close
AACG,2024-08-08,
AACG,2025-03-25,After market close
AACG,2025-05-13,
AACG,2025-08-06,
AACT,2025-03-18,
AACT,2025-08-21,
AACT,2025-09-11,
AADI,2021-11-09,
AADI,2022-03-10,
AADI,2022-05-12,Before market open
AADI,2022-08-10,Before market open
AADI,2022-11-09,Before market open
AADI,2023-03-28,Before market open
AADI,2023-05-10,Before market open
AADI,2023-08-09,Before market open
AADI,2023-11-08,Before market open
AADI,2024-03-13,Before market open
AADI,2024-05-08,Before market open
AADI,2024-11-06,Before market open
AADI,2025-03-12,
AAGR,2024-08-19,
AAGR,2024-08-26,
AAGR,2024-09-02,
AAGR,2024-09-09,
AAGR,2024-09-16,
AAGR,2024-09-23,
AAGR,2024-09-30,
AAGR,2025-06-30,
AAIC,2020-11-05,
AAIC,2021-02-16,Before market open
AAIC,2021-07-29,
AAIC,2021-11-09,After market close
AAIC,2022-03-01,
AAIC,2022-05-05,
AAIC,2022-08-09,After market close
AAIC,2022-11-14,After market close
AAIC,2023-03-29,
AAIC,2023-05-11,
AAIC,2023-08-15,
AAIC,2023-11-13,
AAL,2020-01-23,Before market open
AAL,2020-04-30,Before market open
AAL,2020-07-23,Before market open
AAL,2020-10-22,Before market open
AAL,2021-01-28,Before market open
AAL,2021-04-22,Before market open
AAL,2021-07-22,Before market open
AAL,2021-10-21,Before market open
AAL,2022-01-20,Before market open
AAL,2022-04-21,Before market open
AAL,2022-07-21,Before market open
AAL,2022-10-20,Before market open
AAL,2023-01-26,Before market open
AAL,2023-04-27,Before market open
AAL,2023-07-20,Before market open
AAL,2023-10-19,Before market open
AAL,2024-01-25,Before market open
AAL,2024-04-25,Before market open
AAL,2024-07-25,Before market open
AAL,2024-10-24,Before market open
AAL,2025-01-23,Before market open
AAL,2025-04-24,Before market open
AAL,2025-07-24,Before market open
AAMC,2023-03-23,Before market open
AAMC,2023-05-15,Before market open
AAMC,2023-08-14,After market close
AAMC,2023-12-27,
AAMC,2024-03-28,
AAMC,2024-08-12,
AAME,2022-11-09,
AAME,2023-03-24,
AAME,2023-06-28,
AAME,2023-08-11,
AAME,2023-11-14,
AAME,2024-08-13,
AAME,2024-11-11,
AAME,2025-05-13,
AAME,2025-08-13,
AAMI,2025-02-06,Before market open
AAMI,2025-05-01,Before market open
AAMI,2025-07-31,Before market open
AAN,2020-02-20,Before market open
AAN,2020-05-07,Before market open
AAN,2020-07-29,Before market open
AAN,2020-10-29,Before market open
AAN,2021-02-23,Before market open
AAN,2021-04-27,Before market open
AAN,2021-07-27,Before market open
AAN,2021-10-26,Before market open
AAN,2022-02-23,After market close
